Date,Close,Volume,Symbol
03-10-16,31.5,14070500,CSCO
03-10-16,112.52,21701800,AAPL
03-10-16,57.42,19189500,MSFT
04-10-16,113,29736800,AAPL
04-10-16,57.24,20085900,MSFT
04-10-16,31.35,18460400,CSCO
05-10-16,57.64,16726400,MSFT
05-10-16,31.59,11808600,CSCO
05-10-16,113.05,21453100,AAPL
